data_prev,Tx_Mod,P90cl_Tx_Mod,Tx_Obs,P90cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20201104,29.0538,28.64292,23.55045,31.09802,1,1,0,0
20201105,29.30264,29.11224,22.86292,29.25061,1,1,0,0
20201106,36.36652,34.33541,23.39615,26.00964,1,1,0,0
20201107,31.77103,32.3113,24.14468,27.4968,0,0,0,0
20201108,25.88727,30.50456,24.79904,28.68063,0,0,0,0
20201109,26.00873,30.7088,26.25888,29.55286,0,0,0,0
20201110,26.95731,30.47737,25.39548,30.86642,0,0,0,0
20201111,25.83743,29.84163,25.77866,31.76419,0,0,0,0
20201112,26.16214,30.10089,26.64499,33.8436,0,0,0,0
20201113,27.8157,29.85751,26.23117,30.9917,0,0,0,0
20201114,28.55167,31.11983,26.82053,32.62369,0,0,0,0
20201115,26.604,30.09393,29.11163,30.92581,0,0,0,0
20201116,25.96368,32.85398,29.79916,33.84396,0,0,0,0
20201117,26.16965,31.40659,28.29092,30.40292,0,0,0,0
20201118,28.19089,31.21523,24.61661,32.42886,0,0,0,0
20201119,32.48044,31.21746,25.29718,30.48514,1,0,0,0
20201120,30.95038,30.502,22.93491,30.51505,1,0,0,0
20201121,25.45853,29.38523,24.52005,30.41208,0,0,0,0
20201122,32.3927,31.82162,24.8721,32.47794,1,0,0,0
20201123,27.6088,32.28058,25.84811,30.41776,0,0,0,0
20201124,23.46353,31.33324,26.7998,26.7998,0,0,1,0
20201125,24.68976,29.71567,27.46884,29.03455,0,0,0,0
20201126,27.5098,28.50792,30.75229,29.98764,0,0,1,0
20201127,27.74692,31.3216,29.71011,29.71011,0,0,1,0
20201128,28.40402,31.45726,28.93063,30.43436,0,0,0,0
20201129,28.64429,32.74563,30.60831,30.60831,0,0,1,0
20201130,30.81354,31.71116,30.82224,30.54123,0,0,1,0
20211101,33.4183,33.4183,21.97769,29.93808,1,0,0,0
20211102,28.09796,31.44449,24.36185,29.56668,0,0,0,0
20211103,22.15695,31.84183,24.3439,31.04578,0,0,0,0
20211104,21.73456,31.14221,24.30502,31.09802,0,0,0,0
20211105,24.55139,30.55637,25.00244,29.25061,0,0,0,0
20211106,25.67825,29.3045,24.4454,26.00964,0,0,0,0
20211107,28.74652,30.82645,24.66867,27.4968,0,0,0,0
20211108,32.47574,31.51755,24.86661,28.68063,1,0,0,0
20211109,28.98999,30.35251,23.29129,29.55286,0,0,0,0
20211110,27.73914,30.67996,23.33743,30.86642,0,0,0,0
20211111,30.06638,30.06638,22.87152,31.76419,1,0,0,0
20211112,34.86435,30.17719,21.2012,33.8436,1,0,0,0
20211113,20.52353,28.76901,21.8038,30.9917,0,0,0,0
20211101,24.43958,33.47324,21.97769,29.93808,0,0,0,0
20211102,25.92136,31.72999,24.36185,29.56668,0,0,0,0
20211103,25.27078,29.47561,24.3439,31.04578,0,0,0,0
20211104,23.85684,28.64292,24.30502,31.09802,0,0,0,0
20211105,21.2337,29.11224,25.00244,29.25061,0,0,0,0
20211106,22.07715,34.33541,24.4454,26.00964,0,0,0,0
20211107,24.81317,32.3113,24.66867,27.4968,0,0,0,0
20211108,24.53284,30.50456,24.86661,28.68063,0,0,0,0
20211109,24.56918,30.7088,23.29129,29.55286,0,0,0,0
20211110,26.28601,30.47737,23.33743,30.86642,0,0,0,0
20211111,26.25095,29.84163,22.87152,31.76419,0,0,0,0
20211112,26.48639,30.10089,21.2012,33.8436,0,0,0,0
20211113,28.90567,29.85751,21.8038,30.9917,0,0,0,0
20211114,32.53934,31.11983,24.34421,32.62369,1,1,0,0
20211115,30.33353,30.09393,25.77682,30.92581,1,1,0,0
20211116,33.1431,32.85398,27.16119,33.84396,1,1,0,0
20211117,29.13727,31.40659,29.04703,30.40292,0,0,0,0
20211118,24.15128,31.21523,29.14801,32.42886,0,0,0,0
20211119,26.45682,31.21746,24.44589,30.48514,0,0,0,0
20211120,27.97833,30.502,23.30704,30.51505,0,0,0,0
20211121,24.45932,29.38523,23.0145,30.41208,0,0,0,0
20211122,22.45535,31.82162,24.6135,32.47794,0,0,0,0
20211123,23.35428,32.28058,28.29504,30.41776,0,0,0,0
20211124,26.72031,31.33324,25.6124,26.7998,0,0,0,0
20211125,27.36435,29.71567,27.0986,29.03455,0,0,0,0
20211126,27.815,28.50792,29.96683,29.98764,0,0,0,0
20211127,29.02908,31.3216,30.53412,29.71011,0,0,1,0
20211128,29.84686,31.45726,26.96988,30.43436,0,0,0,0
20211129,30.77414,32.74563,31.2507,30.60831,0,0,1,0
20211130,31.70099,31.71116,27.4039,30.54123,0,0,0,0
20221101,25.23288,33.4183,24.4585,29.93808,0,0,0,0
20221102,25.02982,31.44449,21.15585,29.56668,0,0,0,0
20221103,23.86145,31.84183,20.62033,31.04578,0,0,0,0
20221104,23.30362,31.14221,21.92838,31.09802,0,0,0,0
20221105,24.27347,30.55637,23.45435,29.25061,0,0,0,0
20221106,26.86011,29.3045,23.70398,26.00964,0,0,0,0
20221107,30.12085,30.82645,21.6279,27.4968,0,0,0,0
20221108,31.51755,31.51755,21.60638,28.68063,1,0,0,0
20221109,34.15964,30.35251,25.77154,29.55286,1,0,0,0
20221110,25.25781,30.67996,26.01187,30.86642,0,0,0,0
20221111,23.99753,30.06638,26.72543,31.76419,0,0,0,0
20221112,26.09244,30.17719,27.57748,33.8436,0,0,0,0
20221113,27.49109,28.76901,27.25821,30.9917,0,0,0,0
20221101,29.40189,33.47324,24.4585,29.93808,0,0,0,0
20221102,26.80008,31.72999,21.15585,29.56668,0,0,0,0
20221103,25.32932,29.47561,20.62033,31.04578,0,0,0,0
20221104,28.46683,28.64292,21.92838,31.09802,0,0,0,0
20221105,25.92114,29.11224,23.45435,29.25061,0,0,0,0
20221106,21.76886,34.33541,23.70398,26.00964,0,0,0,0
20221107,24.79633,32.3113,21.6279,27.4968,0,0,0,0
20221108,26.84116,30.50456,21.60638,28.68063,0,0,0,0
20221109,26.7265,30.7088,25.77154,29.55286,0,0,0,0
20221110,25.77145,30.47737,26.01187,30.86642,0,0,0,0
20221111,24.97668,29.84163,26.72543,31.76419,0,0,0,0
20221112,26.20041,30.10089,27.57748,33.8436,0,0,0,0
20221113,25.0145,29.85751,27.25821,30.9917,0,0,0,0
20221114,22.95157,31.11983,30.38608,32.62369,0,0,0,0
20221115,21.45447,30.09393,30.87387,30.92581,0,0,0,0
20221116,25.97891,32.85398,25.79858,33.84396,0,0,0,0
20221117,26.59906,31.40659,26.42041,30.40292,0,0,0,0
